"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"90","","Andrew Luck","IND","QB11","9","51","170","96.3","30.3"
"91","","Marqise Lee","JAC","WR43","9","62","142","97.1","20.1"
"92","","Derrius Guice","WAS","RB29","4","44","165","81.7","31.0"
"93","","Rashaad Penny","SEA","RB30","7","45","173","82.7","31.4"
"94","","Jared Goff","LAR","QB12","12","58","152","101.8","21.4"
"95","","Carlos Hyde","CLE","RB31","11","38","237","101.2","55.2"
"96","","Ben Roethlisberger","PIT","QB13","7","60","149","102.7","22.7"
"97","","Marshawn Lynch","OAK","RB32","7","55","157","98.7","26.4"
"98","","Marquise Goodwin","SF","WR44","11","70","228","106.4","31.8"
"99","","Aaron Jones","GB","RB33","7","61","185","101.8","35.7"
"100","","Theo Riddick","DET","RB34","6","74","158","102.6","24.8"
"101","","Randall Cobb","GB","WR45","7","73","169","108.5","22.3"
"102","","Kelvin Benjamin","BUF","WR46","11","83","173","109.5","19.0"
"103","","Jack Doyle","IND","TE10","9","77","162","110.7","22.7"
"104","","Bilal Powell","NYJ","RB35","11","61","159","106.7","24.5"
"105","","Philip Rivers","LAC","QB14","8","68","154","111.5","19.9"
"106","","Dak Prescott","DAL","QB15","8","78","169","113.3","20.3"
"107","","Jordan Reed","WAS","TE11","4","92","255","117.7","33.4"
"108","","Tarik Cohen","CHI","RB36","5","73","263","118.1","43.0"
"109","","Jamaal Williams","GB","RB37","7","78","165","105.9","20.0"
"110","","Isaiah Crowell","NYJ","RB38","11","72","174","111.5","26.5"
"111","","Matt Ryan","ATL","QB16","8","76","161","116.1","21.2"
"112","","Royce Freeman","DEN","RB39","10","53","159","95.3","30.1"
"113","","DeSean Jackson","TB","WR47","5","88","159","116.5","18.6"
"114","","Julian Edelman","NE","WR48","11","44","196","113.9","49.4"
"115","","Trey Burton","CHI","TE12","5","78","185","109.3","26.2"
"116","","Josh Doctson","WAS","WR49","4","86","206","119.0","26.4"
"117","","Jameis Winston","TB","QB17","5","61","154","118.9","23.1"
"118","","Ronald Jones II","TB","RB40","5","64","194","94.0","29.3"
"119","","James White","NE","RB41","11","65","161","116.7","24.8"
"120","","Sony Michel","NE","RB42","11","39","165","107.6","34.1"
"121","","Marcus Mariota","TEN","QB18","8","79","167","129.9","21.6"
"122","","Martavis Bryant","OAK","WR50","7","75","175","130.7","23.7"
"123","","D'Onta Foreman","HOU","RB43","10","72","285","131.8","46.8"
"124","","Rishard Matthews","TEN","WR51","8","112","196","128.7","20.8"
"125","","David Njoku","CLE","TE13","11","107","174","134.0","22.2"
"126","","Patrick Mahomes","KC","QB19","12","67","189","134.6","37.1"
"127","","Tyler Eifert","CIN","TE14","9","108","269","138.0","32.2"
"128","","Mohamed Sanu","ATL","WR52","8","97","212","136.2","25.5"
"129","","C.J. Anderson","FA","RB44","","79","167","108.7","26.4"
